time,distance_permin_pernumber,shrimp_number
 2016-09-09 00:00:16,15.49,25.1
 2016-09-11 00:00:15,19.02,20.12
 2016-09-12 00:00:15,15.96,25.07
 2016-09-13 00:00:15,10.95,18.84
 2016-09-14 00:00:15,16.72,28.99
 2016-09-15 23:59:59,18.05,17.76
 2016-09-16 23:59:58,17.7,27.21
 2016-09-17 23:59:55,22.24,30.62
 2016-09-18 23:59:57,21.67,22.68
 2016-09-19 23:59:54,12.49,16.76
 2016-09-21 23:59:52,11.43,19.18
 2016-09-22 23:59:53,15.89,22.56
 2016-09-23 23:59:51,17.59,20.83
 2016-09-24 23:59:50,18.05,23.55
 2016-09-25 23:59:49,14.86,22.35
 2016-09-26 23:59:48,18.44,26.88
 2016-09-27 23:59:48,16.55,18.48
 2016-09-28 23:59:48,17.11,22.83
 2016-09-29 23:59:44,20.86,21.19
 2016-10-01 23:59:44,15.88,23.18
 2016-10-02 23:59:44,19.53,20.32
 2016-10-03 23:59:42,16.76,18.54
 2016-10-04 23:59:40,12.4,17.71
 2016-10-05 23:59:41,16.38,16.27
 2016-10-06 23:59:38,14.75,20.28
 2016-10-07 23:59:37,16.6,16.85
 2016-10-08 23:59:39,14.57,13.21
 2016-10-09 23:59:36,18.11,20.6
 2016-10-11 23:59:35,15.63,23.18
 2016-10-12 23:59:33,20.03,26.18
 2016-10-13 23:59:33,22.52,23.72
 2016-10-14 23:59:29,17.36,16.09
 2016-10-15 23:59:30,21.52,19.88
 2016-10-16 23:59:30,18.08,22.13
 2016-10-17 23:59:27,20.69,25.48
 2016-10-18 23:59:24,15.4,24.36
 2016-10-19 23:59:26,13.19,17.51
 2016-10-21 23:59:24,12.21,19.81
 2016-10-22 23:59:23,17.12,17.46
 2016-10-23 23:59:22,15.55,21.15
 2016-10-24 23:59:22,16.99,24.5
 2016-10-25 23:59:19,14.32,16.5
 2016-10-26 23:59:18,13.44,19.77
 2016-10-27 23:59:20,13.48,20.81
 2016-10-28 23:59:19,16.47,20.84
 2016-10-29 23:59:18,12.57,15.2
 2016-10-31 23:59:17,10.28,17.46
 2016-11-01 23:59:15,16.66,29.44
 2016-11-02 23:59:16,20.25,20.52
 2016-11-03 23:59:12,15.06,25.05
 2016-11-04 23:59:12,13.52,20.82
 2016-11-05 23:59:13,15.25,24.2
 2016-11-06 23:59:09,14.47,19.17
 2016-11-07 23:59:08,19.71,26.83
 2016-11-08 23:59:08,16.3,28.01
 2016-11-09 23:59:08,22.2,25.33
 2016-11-11 23:59:08,27.54,31.76
 2016-11-12 23:59:06,20.81,30.11
 2016-11-13 23:59:05,20.12,30.8
 2016-11-14 23:59:04,17.26,31.95
 2016-11-15 23:59:05,14.76,20.95
 2016-11-16 23:59:05,9.25,21.1
 2016-11-17 23:59:03,9.29,17.37
 2016-11-18 23:59:03,10.32,22.2
 2016-11-19 23:59:02,9.52,17.21
 2016-11-21 23:58:59,14.74,21.26
 2016-11-22 23:59:00,13.44,26.61
 2016-11-23 23:59:00,15.06,28.32
 2016-11-24 23:59:00,15.23,33.03
 2016-11-25 23:58:58,14.98,28.72
 2016-11-26 23:58:56,15.48,33.12
 2016-11-27 23:58:58,17.32,23.15
 2016-11-28 23:58:56,13.86,28.11
 2016-11-29 23:58:56,15.48,26.97
 2016-12-01 23:58:54,18.8,24.14
 2016-12-02 23:58:51,12.71,17.8
 2016-12-03 23:58:53,12.9,25.7
 2016-12-04 23:58:51,14.09,21.52
 2016-12-05 23:58:49,13.2,28.27
 2016-12-06 23:58:49,12.85,20.91
 2016-12-07 23:58:49,14.49,24.83
 2016-12-08 23:58:49,14.66,15.92
 2016-12-09 23:58:50,14.32,20.58
 2016-12-11 23:58:46,16.88,22.5
 2016-12-12 23:58:43,19.18,26.75
 2016-12-13 23:58:44,16.06,22.79
 2016-12-14 23:58:44,21.58,29.15
 2016-12-15 23:58:44,19.41,20.26
 2016-12-16 23:58:42,17.21,21.11
 2016-12-17 23:58:40,15.28,22.95
 2016-12-18 23:58:41,15.18,21.15
 2016-12-19 23:58:39,18.34,31.07
 2016-12-21 23:58:38,12.54,22.14
 2016-12-22 23:58:37,18.23,18.17
 2016-12-23 23:58:38,11.88,27.48
 2016-12-24 23:58:35,18.26,26.06
 2016-12-25 23:58:34,16.1,24.67
 2016-12-26 23:58:35,20.47,19.75
 2016-12-27 23:58:30,14.73,21.45
 2016-12-28 23:58:31,13.69,18
 2016-12-29 23:58:32,15.55,17.01
 2016-12-31 23:58:32,12.08,16.53
